Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
1988;APC;0,070736551;0,070736551;;;;;;;;
1989;APC;0,367349475;0,367349475;;;;;;;;
1990;APC;-0,226527649;-0,226527649;;;;;;;;
1991;APC;-0,206336433;-0,206336433;;;;;;;;
1992;APC;0,202090142;0,202090142;;;;;;;;
1993;APC;0,43481732;0,43481732;;;;;;;;
1994;APC;-0,164303051;-0,164303051;;;;;;;;
1995;APC;0,340637945;0,340637945;;;;;;;;
1996;APC;0,179237514;0,179237514;;;;;;;;
1997;APC;-0,064804193;-0,064804193;;;;;;;;
1998;APC;-0,675782712;-0,675782712;;;;;;;;
1999;APC;0,100083459;0,100083459;;;;;;;;
2000;APC;0,73377575;0,73377575;1,126916065;1,120970944;1,12097947;;;0,888053752;0,601493949;0,601735636
2001;APC;-0,223389783;-0,223389783;0,0220421;0,047433258;0,047397193;;;0,143757119;0,079012614;0,079077485
2002;APC;-0,171300716;-0,171300716;0,003595424;0,091527257;0,091409196;;;0,020401692;-0,000883783;-0,000861523
2003;APC;0,062906188;0,062906188;0,1065121;0,083847972;0,083877418;;;0,073032982;0,08065464;0,080646615
2004;APC;0,239438221;0,239438221;-0,074539116;-0,207845614;-0,207658262;;;-0,025702962;-0,096697765;-0,096620593
2005;APC;0,379781932;0,379781932;0,02010391;-0,020000667;-0,019939246;;;0,049498379;0,01515856;0,015197898
2006;APC;-0,778021241;-0,778021241;0,311862871;0,190982038;0,191182768;0,298492989;0,196710294;0,281913252;0,112063663;0,112279369
2007;APC;0,411726104;0,411726104;-0,188695199;-0,225231961;-0,225166367;0,22386014;0,133531393;-0,209504393;-0,220378391;-0,220363295
2008;APC;-0,532990607;-0,532990607;-0,030746889;0,010398707;0,010325007;0,071854104;-0,182321557;-0,048055486;-0,09078395;-0,090723018
2009;APC;0,481929637;0,481929637;-0,038834978;0,103116621;0,102884386;0,085565888;0,09531018;-0,04298349;0,086831375;0,086654023
2010;APC;0,198950654;0,198950654;0,016518157;-0,350252599;-0,349578115;0,01458106;-0,186877373;0,044462962;-0,298966626;-0,298442438
2011;APC;0,002229655;0,002229655;0,021662691;0,147506137;0,147246427;0,027366372;0,066249386;0,030095707;0,02894939;0,028951458
2012;APC;-0,026820514;-0,026820514;0,052886985;0,00190295;0,002004255;0,072429838;0,08594243;-0,004312933;-0,005201572;-0,005199967
2013;APC;0,065244771;0,065244771;0,099603089;0,042797229;0,042916342;0,052111737;0,057158414;0,100003414;0,103925327;0,103918256
2014;APC;0,03930799;0,03930799;-0,066487986;-0,01283244;-0,012945123;-0,014614039;0,191538212;-0,056538738;0,08769661;0,087454874
2015;APC;-0,52958637;-0,52958637;-0,245072424;-0,098821874;-0,099100071;-0,101745141;0,062242309;-0,367954718;-0,264627318;-0,264780297
1987;PXD;;;;;;;;;;
1988;PXD;-0,191055237;-0,191055237;;;;;;;;
1989;PXD;0,298153372;0,298153372;;;;;;;;
1990;PXD;-0,015748357;-0,015748357;;;;;;;;
1991;PXD;-0,282405015;-0,282405015;;;;;;;;
1992;PXD;0,146603474;0,146603474;;;;;;;;
1993;PXD;0,587786665;0,587786665;;;;;;;;
1994;PXD;-0,188400603;-0,188400603;;;;;;;;
1995;PXD;0,070617567;0,070617567;;;;;;;;
1996;PXD;0,513095772;0,513095772;;;;;;;;
1997;PXD;-0,236842396;-0,236842396;;;;;;;;
1998;PXD;-1,19824213;-1,19824213;;;;;;;;
1999;PXD;0,021202208;0,021202208;;;;;;;;
2000;PXD;0,789728009;0,789728009;-0,020015533;-0,011263846;-0,011273335;-0,153983456;-0,209343138;0,010508574;0,064243301;0,064187507
2001;PXD;-0,02195351;-0,02195351;-0,029275176;-0,023074032;-0,023080706;-0,060524787;-0,0029561;0,091572027;0,040468512;0,040521503
2002;PXD;0,270795749;0,270795749;0,063512607;0,030097829;0,030134285;0,024336801;-0,082004945;0,027575162;0,158075549;0,157945412
2003;PXD;0,234719851;0,234719851;0,050657848;0,0230362;0,023067268;0,482278667;0,112577764;0,028748996;0,104464472;0,10439639
2004;PXD;0,094655124;0,094655124;0,410044928;0,067787774;0,068253068;0,167232772;0,288593499;0,515676192;-0,033650291;-0,033016798
2005;PXD;0,378904655;0,378904655;-0,091259832;-0,069558758;-0,069593213;-0,024618664;-0,066412696;-0,095277903;0,048350793;0,048150308
2006;PXD;-0,256006519;-0,256006519;-0,156056492;-0,080662318;-0,080776385;-0,710947744;-0,585886905;-0,133531393;-0,028538141;-0,028667535
2007;PXD;0,207450382;0,207450382;0,053400866;-0,352077401;-0,351349282;-0,023269683;0,025245236;0,012418864;-0,296483088;-0,296060116
2008;PXD;-1,104773738;-1,104773738;-0,033433206;-0,14656888;-0,146307365;0,176462072;0,199036441;0,005163051;-0,005087308;-0,005070913
2009;PXD;1,090960509;1,090960509;-0,136097771;0,073634057;0,073171471;-0,010258487;0,037214818;-0,176031408;0,053412216;0,053082551
2010;PXD;0,589100589;0,589100589;0,031981939;0,180589422;0,180315567;-0,032330607;0,05591129;0,067959656;0,157439443;0,157330008
2011;PXD;0,030178127;0,030178127;0,042857238;0,095880251;0,095791965;-0,007970851;0,212701512;-0,055141178;0,121498899;0,12130957
2012;PXD;0,174974562;0,174974562;-0,14374786;0,19301047;0,192546784;0,065816279;0,416638409;-0,141318246;0,124134582;0,123906066
2013;PXD;0,546326421;0,546326421;0,059529021;0,106548366;0,106495162;-0,024109724;0,173365245;-0,142125551;-0,352813711;-0,352637425
2014;PXD;-0,212377033;-0,212377033;-0,136500578;0,040304712;0,040125594;-0,00862012;0,175377084;-0,133037749;0,028752076;0,028613461
2015;PXD;-0,171589962;-0,171589962;-0,145772749;-0,002008055;-0,002132095;-0,044889613;0,161485325;-0,20724968;-0,120962754;-0,121028013
1988;DVN;;;;;;;;;;
1989;DVN;1,044545067;1,044545067;;;;;;;;
1990;DVN;-0,16034265;-0,16034265;;;;;;;;
1991;DVN;-0,2591087;-0,2591087;;;;;;;;
1992;DVN;0,524811866;0,524811866;;;;;;;;
1993;DVN;0,318453731;0,318453731;;;;;;;;
1994;DVN;-0,122338852;-0,122338852;;;;;;;;
1995;DVN;0,334513372;0,334513372;;;;;;;;
1996;DVN;0,30950112;0,30950112;;;;;;;;
1997;DVN;0,102478669;0,102478669;;;;;;;;
1998;DVN;-0,226802836;-0,226802836;;;;;;;;
1999;DVN;0,068857085;0,068857085;;;;;;;;
2000;DVN;0,617669449;0,617669449;0,407058576;0,423055574;0,423028569;0,764101609;1,01553241;0,600719277;0,412827021;0,413041756
2001;DVN;-0,455835165;-0,455835165;0,405743642;0,214569304;0,214922044;0,154921496;0,042301128;0,45981391;0,24373813;0,244040413
2002;DVN;0,171918342;0,171918342;0,156752589;-0,220061885;-0,219134806;0,425169199;-0,057953643;0,063488125;-0,277495227;-0,276863457
2003;DVN;0,221137183;0,221137183;0,258458857;0,450585543;0,450069492;0,126113328;0,390234353;0,2260181;0,397929277;0,397583963
2004;DVN;-0,386094042;-0,386094042;0,039188554;0,00732604;0,007404932;0,030792717;0,233749468;0,02403897;-0,103513173;-0,103262708
2005;DVN;0,474298095;0,474298095;-0,017518696;-0,12419038;-0,123907247;-0,073866105;-0,194156014;-0,026776448;0,08519205;0,084970504
2006;DVN;0,070079585;0,070079585;0,064477155;-0,013869848;-0,013641848;-0,0151075;-0,157780448;0,135653591;0,087011377;0,08710459
2007;DVN;0,281738685;0,281738685;0,107123306;0,088174574;0,088232444;0,057253889;-0,007299302;0,073577845;-0,044772821;-0,044526199
2008;DVN;-0,302373501;-0,302373501;0,103235586;-0,261597295;-0,260240869;0,085928791;-0,029741969;0,094460768;-0,456214354;-0,454593115
2009;DVN;0,112034285;0,112034285;-0,025050086;-0,040683577;-0,040613711;0,027697952;-0,235006087;-0,01303348;0,469420709;0,467955438
2010;DVN;0,065940599;0,065940599;0,071208389;-0,117350603;-0,116416454;-0,03893102;-0,03151776;0,05250707;-0,007315322;-0,007169541
2011;DVN;-0,23609162;-0,23609162;0,055864975;0,184265192;0,183610266;0,0244433;0,096205435;0,019548988;0,034635497;0,034597908
