Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
2015;OXY;67,61;67,61;2704000;1028000;1028450,667;360000000;159000;3368000;1309000;1309561,333
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1985;COP;12,125;12,125;;;;;;;;
1986;COP;11,75;11,75;;;;;;;;
1987;COP;14;14;;;;;;;;
1988;COP;19,5;19,5;;;;;;;;
1989;COP;25,25;25,25;;;;;;;;
1990;COP;26,125;26,125;;;;;;;;
1991;COP;24;24;;;;;;;;
1992;COP;25,125;25,125;;;;;;;;
1993;COP;29;29;;;;;;;;
1994;COP;32,75;32,75;;;;;;;;
1995;COP;34,125;34,125;;;;;;;;
1996;COP;44,25;44,25;;;;;;;;
1997;COP;48,625;48,625;;;;;;;;
1998;COP;42,625;42,625;;;;;;;;
1999;COP;47;47;4696000;712000;712782,6667;0;0;6364000;964000;965060,6667
2000;COP;56,875;56,875;6982000;1926000;1927163,667;0;0;8534000;3188000;3189422,333
2001;COP;60,26;60,26;7490000;2045000;2046248,333;0;0;8829000;3276000;3277471,5
2002;COP;48,39;48,39;12861000;2899000;2901143,5;0;0;16040000;4632000;4634673,333
2003;COP;65,57;65,57;12511000;2794000;2796085,167;0;0;16060000;4667000;4669676,667
2004;COP;86,83;86,83;12951000;3481000;3483158,5;0;0;17696000;5149000;5151949,333
2005;COP;58,18;58,18;14989000;3981000;3983498,167;1355000000;418000;19061000;5766000;5769176,833
2006;COP;71,95;71,95;20792000;4092000;4095465,333;2070000000;485000;26835000;5890000;5894472,5
2007;COP;88,3;88,3;19810000;3702000;3705301,667;2110000000;452000;25438000;5502000;5506239,667
2008;COP;51,8;51,8;17409000;2032000;2034901,5;2095000000;437000;24948000;5040000;5044158
2009;COP;51,07;51,07;18561000;3757000;3760093,5;2053000000;497000;24247000;4904000;4908041,167
2010;COP;68,1;68,1;18979000;2752000;2755163,167;1950000000;425000;21716000;3392000;3395619,333
2011;COP;72,87;72,87;18089000;2747000;2750014,833;1818000000;290000;20916000;3462000;3465486
2012;COP;57,99;57,99;16781000;2221000;2223796,833;1722000000;261000;19614000;4679000;4682269
2013;COP;70,65;70,65;16779000;2183000;2185796,5;1655000000;258000;20388000;4779000;4782398
2014;COP;69,06;69,06;17301000;2167000;2169883,5;1619000000;269000;20500000;4774000;4777416,667
2015;COP;46,69;46,69;15090000;2173000;2175515;1643000000;278000;17193000;4756000;4758865,5
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1985;APC;;;;;;;;;;
1986;APC;20,125;20,125;;;;;;;;
1987;APC;23,875;23,875;;;;;;;;
1988;APC;25,625;25,625;;;;;;;;
1989;APC;37;37;;;;;;;;
1990;APC;29,5;29,5;;;;;;;;
1991;APC;24;24;;;;;;;;
1992;APC;29,375;29,375;;;;;;;;
1993;APC;45,375;45,375;;;;;;;;
1994;APC;38,5;38,5;;;;;;;;
1995;APC;54,125;54,125;;;;;;;;
1996;APC;64,75;64,75;;;;;;;;
1997;APC;60,687;60,687;;;;;;;;
1998;APC;30,875;30,875;;;;;;;;
1999;APC;34,125;34,125;1672000;194600;194878,6667;169800000;14583;2507000;573200;573617,8333
2000;APC;71,08;71,08;5160000;597000;597860;0;0;6093000;1046000;1047015,5
2001;APC;56,85;56,85;5275000;626000;626879,1667;0;0;7035000;1132000;1133172,5
2002;APC;47,9;47,9;5294000;686000;686882,3333;0;0;7180000;1131000;1132196,667
2003;APC;51,01;51,01;5889000;746000;746981,5;0;0;7724000;1226000;1227287,333
2004;APC;64,81;64,81;5466000;606000;606911;0;0;7528000;1113000;1114254,667
2005;APC;94,75;94,75;5577000;594000;594929,5;414000000;69000;7910000;1130000;1131318,333
2006;APC;43,52;43,52;7618000;719000;720269,6667;558000000;84000;10486000;1264000;1265747,667
2007;APC;65,69;65,69;6308000;574000;575051,3333;698000000;96000;8504000;1014000;1015417,333
2008;APC;38,55;38,55;6117000;580000;581019,5;750000000;80000;8105000;926000;927350,8333
2009;APC;62,42;62,42;5884000;643000;643980,6667;817000000;88000;7764000;1010000;1011294
2010;APC;76,16;76,16;5982000;453000;453997;829000000;73000;8117000;749000;750352,8333
